Date;Close_ABBN.SW;Close_ALC.SW;Close_CFR.SW;Close_GEBN.SW;Close_GIVN.SW;Close_HOLN.SW;Close_KNIN.SW;Close_LOGN.SW;Close_LONN.SW;Close_NESN.SW;Close_NOVN.SW;Close_PGHN.SW;Close_ROG.SW;Close_SCMN.SW;Close_SIKA.SW;Close_SLHN.SW;Close_SOON.SW;Close_SREN.SW;Close_UBSG.SW;Close_ZURN.SW;High_ABBN.SW;High_ALC.SW;High_CFR.SW;High_GEBN.SW;High_GIVN.SW;High_HOLN.SW;High_KNIN.SW;High_LOGN.SW;High_LONN.SW;High_NESN.SW;High_NOVN.SW;High_PGHN.SW;High_ROG.SW;High_SCMN.SW;High_SIKA.SW;High_SLHN.SW;High_SOON.SW;High_SREN.SW;High_UBSG.SW;High_ZURN.SW;Low_ABBN.SW;Low_ALC.SW;Low_CFR.SW;Low_GEBN.SW;Low_GIVN.SW;Low_HOLN.SW;Low_KNIN.SW;Low_LOGN.SW;Low_LONN.SW;Low_NESN.SW;Low_NOVN.SW;Low_PGHN.SW;Low_ROG.SW;Low_SCMN.SW;Low_SIKA.SW;Low_SLHN.SW;Low_SOON.SW;Low_SREN.SW;Low_UBSG.SW;Low_ZURN.SW;Open_ABBN.SW;Open_ALC.SW;Open_CFR.SW;Open_GEBN.SW;Open_GIVN.SW;Open_HOLN.SW;Open_KNIN.SW;Open_LOGN.SW;Open_LONN.SW;Open_NESN.SW;Open_NOVN.SW;Open_PGHN.SW;Open_ROG.SW;Open_SCMN.SW;Open_SIKA.SW;Open_SLHN.SW;Open_SOON.SW;Open_SREN.SW;Open_UBSG.SW;Open_ZURN.SW;Volume_ABBN.SW;Volume_ALC.SW;Volume_CFR.SW;Volume_GEBN.SW;Volume_GIVN.SW;Volume_HOLN.SW;Volume_KNIN.SW;Volume_LOGN.SW;Volume_LONN.SW;Volume_NESN.SW;Volume_NOVN.SW;Volume_PGHN.SW;Volume_ROG.SW;Volume_SCMN.SW;Volume_SIKA.SW;Volume_SLHN.SW;Volume_SOON.SW;Volume_SREN.SW;Volume_UBSG.SW;Volume_ZURN.SW
2015-10-01;11.83520031;;60.31412888;233.4931641;1240.374268;34.50301743;86.76488495;10.74341869;111.3374329;55.02405167;49.71826935;247.8733826;185.1236572;312.1870117;43.91724396;143.296936;109.0009079;45.07773972;12.64546871;132.6910858;12.06333103;;61.5540045;236.7884161;1277.090623;35.27950517;88.21672659;10.91260623;112.8012656;55.70011625;51.05672925;250.4401188;187.4260202;319.2009827;44.52700473;145.5308136;111.5156438;45.64458719;12.75651554;134.9759755;11.79372187;;59.91416782;232.7870403;1233.988814;34.46925765;86.3500738;10.61652824;110.6485737;54.98649029;49.63461338;244.0232783;184.6200304;311.9272189;43.84465458;142.9027176;108.5673321;45.02375522;12.56218426;132.300975;12.02876636;;61.35402397;235.3761686;1276.292441;35.00942181;87.17969609;10.82801287;111.4235403;55.47475948;50.63845958;244.5732932;187.0662774;318.6164884;44.1640545;144.3481684;109.6946279;45.3476663;12.6593499;134.7530623;8599835.0;;2090116.0;182902.0;45636.0;2622585;202551.0;1210682.0;289206;7598780;8530488.0;85883.0;1756286.0;256916.0;450780.0;107478.0;285644.0;1460216.0;9556981;808101
2015-10-02;11.83520031;;59.75418472;236.4746094;1234.787354;34.8743782;87.24882507;10.65882492;112.1124191;55.09916687;49.74615097;245.1233063;184.1883392;311.7323608;44.07694244;143.6254425;109.4344788;44.91579819;12.7565155;133.638443;12.02185259;;61.31403664;238.9068348;1249.154627;35.34702017;87.9401787;10.82801245;113.3179299;55.73767006;50.38749809;251.1734702;187.5699308;315.8887884;44.55604232;145.85932;110.2149179;45.75257255;12.99249034;135.7561514;11.70385123;;59.11425064;233.9639444;1214.034625;34.40173366;86.55747145;10.44734031;109.9597199;54.6108977;49.02114789;242.5565701;181.5981863;308.0954793;43.58332802;141.5886642;108.2204638;44.5648968;12.55524363;132.3009389;11.92506957;;60.954068;235.533119;1249.154627;34.67181442;87.11055646;10.82801245;112.2846339;55.24940662;50.16442061;248.2400574;186.7784921;313.6157399;44.12049939;143.8882481;109.9547671;45.32068821;12.72875446;134.1957342;7199915.0;;1954253.0;186638.0;47331.0;1749465;194084.0;995323.0;316010;6244817;5828544.0;61673.0;1514597.0;286004.0;386580.0;135556.0;238478.0;1406779.0;9334456;728327
2015-10-05;12.18085384;;63.03386688;242.9866638;1273.897949;36.25855255;88.28585815;10.87031078;114.3512115;56.11325455;51.14038467;250.0734558;187.4260406;321.4740295;44.81737137;147.1733551;111.9492188;46.10346603;13.20764351;137.7066956;12.23615843;;63.07385933;243.614324;1276.292494;36.29231233;88.90808276;10.87031078;114.9539704;56.15081591;51.44711305;252.0901772;188.2174794;322.5131415;44.83188925;147.7646726;112.2093562;46.21143503;13.23540455;137.7066956;11.95272312;;61.67399559;239.3775579;1245.961591;35.27950361;88.14758954;10.74341952;113.6623524;55.4371958;50.63845904;247.3233811;185.8431632;315.4991508;44.28019994;145.2679898;110.7352038;45.50962831;12.86756248;135.2546085;11.97346165;;61.91397467;239.3775579;1249.154317;35.44830506;88.28585815;10.82801369;113.9206746;55.62499117;51.02884339;248.423411;187.0662978;315.4991508;44.5124893;145.6621981;110.8219163;45.61759731;13.0341327;136.0348215;9943987.0;;2469639.0;171971.0;29241.0;1762670;148448.0;646390.0;255642;6544011;5472141.0;49229.0;1421912.0;170258.0;351600.0;131669.0;223588.0;1280977.0;9248088;708896
2015-10-06;12.27072239;;64.71369934;245.2619629;1284.274292;36.69743729;88.28585815;11.03949928;116.8483353;56.1883812;50.72211838;253.3735046;186.9943237;324.2016907;45.55779266;149.1444397;112.7296524;46.37339401;13.33257198;139.0999146;12.34676549;;64.79369033;246.6742103;1290.659745;36.73119964;88.90808276;11.08179638;118.8288195;56.2634982;51.36346558;255.2068875;188.2894111;326.3448429;45.6594178;150.7212932;113.2499541;46.61632632;13.37421554;139.3785602;12.09098115;;63.15384758;243.0651044;1265.916114;35.88719232;87.66364409;10.82801463;114.4373141;55.88790743;50.69423305;249.8900773;186.2028851;320.1751394;44.62863524;146.1221255;111.342219;45.83354077;13.08965787;136.9822059;12.22924396;;64.07375922;244.4773757;1277.090657;36.39359671;88.28585815;10.87031172;115.0400729;56.15081983;51.22403896;249.8900773;187.9296683;322.1234668;44.93351398;147.5018798;112.2093641;46.21143639;13.22152515;138.2639776;8122893.0;;2371405.0;134397.0;26591.0;1476228;246794.0;622264.0;363484;4595371;5081227.0;47739.0;1063519.0;134608.0;330420.0;156892.0;256175.0;1329558.0;7167378;822976
2015-10-07;12.30529022;;65.35364532;246.5957489;1282.677856;37.47392273;87.45624542;10.87031078;111.8540802;55.51232147;49.4951973;246.9566956;180.2311554;315.9537964;45.6594162;149.3415527;110.3016205;46.37339401;13.38809395;139.3228455;12.4919439;;66.5535287;248.5572169;1289.861491;38.04784664;88.63154463;11.12409171;117.7094185;56.26350307;50.72212112;254.473566;188.1454975;323.4223856;46.25465911;151.3126247;113.336651;46.88625294;13.61712815;141.2733653;12.23615949;;64.67371263;244.3989143;1277.090585;36.56239591;87.45624542;10.87031078;111.6818654;55.36208171;49.24423445;245.8566657;179.8714126;315.9537964;45.25291233;149.2758463;110.3016205;46.37339401;13.36727218;138.4869084;12.27072554;;65.19366332;245.8896252;1285.072401;36.96751837;88.28586778;11.08179542;117.7094185;56.26350307;50.6942358;254.473566;188.1454975;323.4223856;45.51423743;149.4729555;113.0765002;46.53534751;13.45055662;139.0999323;7069593.0;;2553999.0;167625.0;31020.0;2754964;241705.0;607464.0;429493;7262178;9042360.0;74826.0;3070358.0;247390.0;305760.0;127978.0;210266.0;1499584.0;9477828;1018649
2015-10-08;12.42972469;;65.99356079;248.3218689;1295.448853;37.30512238;87.52537537;11.08179474;114.2651062;55.81279373;49.55096436;245.3066559;182.6774139;318.8762817;46.34177399;150.2613983;111.3422241;46.75128174;13.25622654;143.4467926;12.46429075;;66.15354274;249.1064562;1303.430669;37.7440072;88.07846042;11.12409102;115.4706169;55.96302776;50.38750373;248.2400688;183.4688526;320.3699916;46.42888125;150.524214;111.8625058;46.83226053;13.56160594;144.004084;12.26381094;;64.63369592;246.2819372;1284.274309;36.8999999;87.17969852;10.99720057;111.9401994;55.43720294;49.35577217;244.3899643;180.5909098;314.3951323;45.55779529;148.8159474;109.7813457;46.26541308;13.21458431;139.4342965;12.29837699;;65.19363884;246.2819372;1285.072491;37.37264193;87.52537537;10.99720057;111.9401994;55.58743697;49.49519371;248.2400688;181.1665006;317.7722215;45.55779529;149.407265;110.3883532;46.42737067;13.38115454;139.6014856;6212927.0;;1954342.0;131162.0;31477.0;1976941;240534.0;541242.0;300433;4749213;5732168.0;31079.0;1535104.0;167403.0;343620.0;97332.0;225114.0;998771.0;8929897;1002990
2015-10-09;12.61637783;;67.11345673;250.4402466;1352.917969;38.08161163;91.67350006;11.2932806;114.0067902;55.81279373;49.29999542;240.5398407;181.598175;320.5648499;45.77556229;151.0498047;112.0359344;46.61633301;13.20764351;144.1712646;12.74081314;;67.95337116;251.9309575;1366.487058;38.41921456;91.95003731;11.54706154;115.7289453;56.03814477;49.99711317;247.1400193;184.9078135;321.9936116;47.06767323;152.429559;112.7296478;46.9942328;13.40891536;145.5087604;12.54033472;;66.27353619;249.4987324;1336.954335;37.50768511;87.87104963;11.12409224;112.9734942;55.58743697;49.10480326;239.8064875;181.3823381;319.3958414;45.77556229;150.5241935;110.6484878;46.50836399;13.18682173;143.892619;12.57489939;;66.47351669;250.2048561;1356.908877;37.57520724;87.87104963;11.16638933;115.1261935;55.92546638;49.91345721;247.1400193;184.9078135;321.4091172;46.53050183;151.0498047;112.0359344;46.88625967;13.39503418;144.6170909;6740443.0;;2120518.0;132957.0;63781.0;1814831;285404.0;1905338.0;254153;4511826;5777086.0;63654.0;2024510.0;132443.0;446880.0;109213.0;303917.0;1051848.0;7785610;555557
2015-10-12;12.48503113;;66.95346832;249.1849518;1352.917969;36.86623383;91.81177521;11.20868492;114.0067902;56.22594452;49.55096436;241.8232574;183.1091156;319.9154358;45.26742935;151.7068176;111.4289322;46.72430038;13.20764351;143.948349;12.72007562;;67.71339788;251.3817868;1360.899786;38.18288559;92.64139755;11.42016954;114.5234346;56.33862291;49.57884968;243.4733024;183.5408114;321.6039906;46.16755097;152.101036;112.9030914;46.72430038;13.35339196;144.784286;12.43663893;;66.27353585;247.7726802;1347.330697;36.56239329;91.12042149;11.16638784;112.715172;55.62500265;48.79808095;239.8065358;181.0945534;318.226881;44.99158638;150.4584762;111.168788;46.23843164;13.09659669;142.8894988;12.66477104;;67.4334264;250.2833693;1352.917969;38.11536604;91.53522739;11.37787246;114.4373272;55.73767531;49.57884968;240.9065658;181.3104013;321.4740941;45.73200804;151.5097185;112.2093647;46.72430038;13.2145841;144.3941923;5987571.0;;1729780.0;100665.0;27802.0;2018657;316474.0;1046133.0;233396;3502398;5032449.0;44205.0;1114289.0;79457.0;320700.0;91120.0;245684.0;697199.0;7399409;471861
2015-10-13;12.30529022;;65.91356659;246.2819366;1352.119751;36.29231262;93.12535095;11.33557606;114.3512115;56.33862305;49.21634674;237.2398071;183.9724884;316.7330933;44.77381897;148.7502136;111.4289322;46.29241943;13.06883621;140.4374084;12.44355169;;66.59349899;249.2633826;1361.697931;36.76495721;96.37471157;11.42017023;114.7817556;56.52641846;49.66250176;241.6399272;185.1236589;320.4349034;45.26743345;151.0497974;113.7702431;46.85926703;13.17988304;144.0598019;12.22233334;;65.43361466;244.7127621;1345.734298;35.48206513;92.77967407;11.03949805;112.8012713;56.0005936;48.90961834;237.2398071;181.5262415;316.0187026;44.45441902;147.6332749;111.3422197;45.96850828;12.74957691;139.8801171;12.42281316;;66.59349899;249.2633826;1349.725206;36.69743508;94.71546674;11.29327978;113.7484598;56.15082764;49.57885087;240.9065739;182.677412;319.7854609;45.26743345;151.0497974;112.8163789;46.77828822;13.17988304;143.7254237;5995710.0;;1704479.0;131787.0;34236.0;2129462;457284.0;1407231.0;251229;5921376;5060197.0;43430.0;1487414.0;103308.0;290340.0;104967.0;235660.0;1075706.0;10803003;882187
2015-10-14;12.20850658;;65.91356659;244.5558777;1348.927246;35.85342789;92.84880066;11.37787437;113.5762482;55.85034943;48.77019119;239.0731506;181.3103943;312.3818359;44.51248932;147.5675812;109.2610474;46.02248764;12.98554993;139.1556396;12.33985566;;66.43351705;245.9681253;1362.496337;36.1910308;94.57718485;11.37787437;114.7817588;56.37617997;49.21634108;239.4398272;183.6127463;315.6939966;44.74477868;148.6188135;111.2554948;46.26541995;13.23540595;140.5488679;12.17394053;;64.75367616;243.7712904;1344.138155;35.61710688;92.29571561;11.2509839;113.4901408;55.73767104;48.65864991;235.4063845;180.9506514;310.7582297;44.26568208;147.2390692;109.0876157;45.88752433;12.8745031;138.7098049;12.26381117;;65.51360563;245.5758316;1344.936337;36.12351124;93.60928337;11.293281;114.0928926;56.22594022;48.79807651;237.2397676;183.1091085;314.7198329;44.74477868;148.0274959;111.1687823;46.13045664;12.9439077;139.4900178;5826329.0;;1652433.0;151683.0;28625.0;1849401;209390.0;566931.0;243843;5542424;5598341.0;56735.0;1476544.0;126221.0;255660.0;89411.0;263221.0;920354.0;9234130;458574
